query,group,time,value
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:429,2022-12-23T00:00:00.000Z,N/A
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:429,2022-12-24T00:00:00.000Z,N/A
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:429,2022-12-25T00:00:00.000Z,N/A
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:429,2022-12-26T00:00:00.000Z,N/A
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:429,2022-12-27T00:00:00.000Z,N/A
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:429,2022-12-28T00:00:00.000Z,0.000035000000934815034
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:429,2022-12-29T00:00:00.000Z,N/A
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:429,2022-12-30T00:00:00.000Z,N/A
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:429,2022-12-31T00:00:00.000Z,N/A
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:429,2023-01-01T00:00:00.000Z,N/A
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:429,2023-01-02T00:00:00.000Z,N/A
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:429,2023-01-03T00:00:00.000Z,N/A
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:429,2023-01-04T00:00:00.000Z,N/A
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:429,2023-01-05T00:00:00.000Z,N/A
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:429,2023-01-06T00:00:00.000Z,N/A
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:429,2023-01-07T00:00:00.000Z,N/A
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:429,2023-01-08T00:00:00.000Z,N/A
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:429,2023-01-09T00:00:00.000Z,N/A
